,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0,/hdd/3/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","Memory","Used Memory","Available Memory","Temperature","Used Space","Used Space","Used Space","Used Space"
10/21/2022 00:18:31,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78126526,2.16122818,29.7093582,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:37,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78103638,2.1611557,29.70943,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:42,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78095245,2.161129,29.7094574,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:47,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78067,2.16104126,29.7095451,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:52,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78090668,2.16111374,29.7094727,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:18:57,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80711365,2.169468,29.7011185,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:02,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80635071,2.16922379,29.7013626,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:07,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80535126,2.16890335,29.701683,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:12,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.804817,2.1687355,29.70185,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:17,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.804817,2.1687355,29.70185,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:22,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.80425262,2.16855621,29.70203,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:27,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78879547,2.16362762,29.7069588,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:32,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.787483,2.16321182,29.7073746,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:37,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78668976,2.16295624,29.70763,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:43,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78624725,2.162819,29.7077675,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:48,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78556061,2.16259766,29.7079887,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:53,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.784584,2.16228485,29.7083015,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:19:58,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78403473,2.16211319,29.7084732,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:03,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.783455,2.16192627,29.70866,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:08,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.783188,2.16184235,29.708744,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:13,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78292847,2.16175842,29.708828,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:18,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.7826004,2.16165543,29.708931,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:23,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78220367,2.16152954,29.7090569,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:28,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.7816925,2.16136551,29.70922,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:33,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.78089142,2.16111,29.7094765,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:38,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.780327,2.16093063,29.7096558,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:43,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.779991,2.16082382,29.7097626,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:49,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.77986145,2.16078186,29.7098045,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:54,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.779541,2.16067886,29.7099075,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:20:59,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.779457,2.16065216,29.7099342,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:04,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.778862,2.16046143,29.710125,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:09,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.778694,2.16041183,29.7101746,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:14,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.778351,2.16030121,29.7102852,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:19,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.778351,2.16030121,29.7102852,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:24,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.77819824,2.16025162,29.7103348,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:29,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.778099,2.160221,29.7103653,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:34,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.77796936,2.16017914,29.7104073,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:39,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.777817,2.16012955,29.7104568,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:44,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.77716064,2.15991974,29.7106667,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:49,0.7692337,0,0,0,0,0,0,0,0.09615421,,,,,,,,,,,,,,,,,,6.77718353,2.15992737,29.710659,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:21:55,0.7692337,0,0,0,0,0,0,0.7692337,0.192308426,,,,,,,,,,,,,,,,,,6.7769165,2.15984344,29.710743,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:22:00,0.7692337,0,0,0,0,0,0,0.7692337,0.192308426,,,,,,,,,,,,,,,,,,6.77685547,2.15982437,29.710762,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:22:05,0.7692337,0,0,0,0,0,0,0.7692337,0.192308426,,,,,,,,,,,,,,,,,,6.77617645,2.159607,29.71098,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:22:10,0.7692337,0,0,0,0,0,0,0.7692337,0.192308426,,,,,,,,,,,,,,,,,,6.775963,2.15953827,29.7110481,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:22:15,0.7692337,0,0,0,0,0,0,0.7692337,0.192308426,,,,,,,,,,,,,,,,,,6.775833,2.15949631,29.71109,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:22:20,0.7692337,0,0,0,0,0,0,0.7692337,0.192308426,,,,,,,,,,,,,,,,,,6.77558136,2.1594162,29.71117,42,12.4865189,0.000381469727,35.4988251,67.08646
10/21/2022 00:22:25,0.7692337,0,0,0,0,0,0,0.7692337,0.192308426,,,,,,,,,,,,,,,,,,6.7753067,2.15932846,29.7112579,42,12.4865189,0.000381469727,35.4988251,67.08646
